Transaction Date,Post Date,Description,Category,Type,Amount
12/05/2024,12/06/2024,Netflix.com,Bills & Utilities,Sale,-7.66
12/04/2024,12/06/2024,Tigo Guatemala,Bills & Utilities,Sale,-85.01
12/05/2024,12/06/2024,TARGET.COM  *,Shopping,Sale,-47.85
12/04/2024,12/05/2024,Amazon.com*ZL1V03PM1,Shopping,Sale,-9.93
12/04/2024,12/05/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-70.30
12/03/2024,12/05/2024,DOMINOS BARBERENA,Food & Drink,Sale,-22.19
12/02/2024,12/03/2024,SPORTA GUATEMALA,Entertainment,Sale,-68.06
12/02/2024,12/03/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-0.58
12/02/2024,12/03/2024,TNTWARE,Shopping,Sale,-30.00
12/02/2024,12/03/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-19.59
12/01/2024,12/03/2024,PRICESMART FRAIJANES,Shopping,Sale,-141.47
12/01/2024,12/02/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.99
12/01/2024,12/02/2024,LA CAJA,Entertainment,Sale,-103.06
11/30/2024,12/01/2024,PROTON AG,Professional Services,Sale,-8.99
11/29/2024,12/01/2024,MCDONALDS PRADERA CA,Food & Drink,Sale,-5.84
11/29/2024,12/01/2024,GAP PRADERA CAES N1,Shopping,Sale,-107.16
11/29/2024,12/01/2024,ZARA PRADERA CAES,Shopping,Sale,-23.46
11/29/2024,12/01/2024,OLD NAVY PRADERA CAES N1,Shopping,Sale,-40.46
11/29/2024,12/01/2024,PARFOIS,Shopping,Sale,-51.69
11/27/2024,12/01/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-67.96
11/27/2024,11/28/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-21.02
11/25/2024,11/27/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-168.52
11/24/2024,11/25/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.63
11/23/2024,11/24/2024,ANTHROPOLOGIE.COM,Shopping,Sale,-11.01
11/23/2024,11/24/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-46.27
11/21/2024,11/24/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-27.11
11/23/2024,11/24/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-27.21
11/21/2024,11/24/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-10.12
11/22/2024,11/24/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-13.98
11/23/2024,11/24/2024,ANTHROPOLOGIE.COM,Shopping,Sale,-97.37
11/20/2024,11/22/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-3.63
11/21/2024,11/22/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-2.85
11/21/2024,11/22/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-8.56
11/18/2024,11/20/2024,PRICESMART FRAIJANES,Shopping,Sale,-178.23
11/18/2024,11/19/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-5.69
11/16/2024,11/17/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-71.86
11/15/2024,11/17/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
11/15/2024,11/17/2024,TEXACO PALSA,Gas,Sale,-19.45
11/15/2024,11/17/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-7.12
11/13/2024,11/15/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-42.86
11/14/2024,11/14/2024,Payment Thank You-Mobile,,Payment,4652.21
